,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
99,Praia da Vitoria,75,PT,1559407970,69,38.73,-27.07,77.0,15.01
100,Port-Gentil,20,GA,1559407971,78,-0.72,8.78,80.6,12.75
101,Kapuskasing,75,CA,1559407973,43,49.42,-82.43,51.8,2.24
102,Vaini,77,IN,1559407974,78,15.34,74.49,81.69,2.1
103,Sao Filipe,7,CV,1559407975,86,14.9,-24.5,73.23,18.12
104,Inuvik,20,CA,1559407977,34,68.36,-133.71,51.8,12.75
105,Yellowknife,75,CA,1559407978,61,62.45,-114.38,46.4,13.87
106,Dongsheng,0,CN,1559407980,85,29.72,112.52,70.53,7.65
107,New Norfolk,20,AU,1559407981,81,-42.78,147.06,45.0,3.36
108,Itarema,34,BR,1559407982,74,-2.92,-39.92,84.57,10.31
109,Norman Wells,90,CA,1559407984,71,65.28,-126.83,50.0,4.7
110,Le Creusot,0,FR,1559407985,42,46.81,4.43,82.4,5.82
111,Port Hedland,0,AU,1559407987,21,-20.31,118.58,60.8,9.17
112,Laguna,90,MX,1559407988,69,27.52,-110.01,78.8,9.17
113,Le Port,20,FR,1559407989,34,42.87,1.37,81.0,12.75
114,Zalantun,0,CN,1559407991,93,48.0,122.72,42.45,5.12
115,Alofi,0,NU,1559407992,93,-19.06,-169.92,60.8,1.12
116,Kysyl-Syr,70,RU,1559407993,62,63.9,122.77,46.95,4.52
117,Nanakuli,75,US,1559407995,69,21.39,-158.15,80.6,11.41
118,Port Alfred,0,ZA,1559407996,92,-33.59,26.89,62.01,1.99
119,Souillac,0,FR,1559407998,33,45.6,-0.6,89.01,8.05
120,Ulaangom,43,MN,1559407999,42,49.98,92.07,55.23,1.81
121,Otjimbingwe,0,NA,1559408000,25,-22.35,16.13,63.15,4.36
122,Georgetown,75,GY,1559407791,79,6.8,-58.16,84.2,16.11
123,Piopio,75,CL,1559408003,81,-42.79,-73.57,51.8,11.41
124,Zhigansk,96,RU,1559408005,62,66.77,123.37,51.81,4.16
125,Alta Floresta,40,BR,1559408006,49,-9.87,-56.08,93.2,4.7
126,Tlanchinol,50,MX,1559408007,41,20.99,-98.66,84.75,6.73
127,Albany,75,US,1559408009,46,42.65,-73.75,77.0,8.05
128,Victoria,75,BN,1559408010,94,5.28,115.24,82.4,4.56
129,Ponta do Sol,3,BR,1559408012,59,-20.63,-46.0,77.37,7.31
130,Mahebourg,75,MU,1559407819,94,-20.41,57.7,75.2,8.05
131,Boyolangu,76,ID,1559408014,92,-8.09,111.9,71.97,5.73
132,Puri,52,ID,1559408015,85,-7.54,112.45,74.13,7.11
133,Nhulunbuy,75,AU,1559408017,73,-12.18,136.78,77.0,16.11
134,Kodiak,1,US,1559408018,33,39.95,-94.76,84.0,4.7
135,Quatre Cocos,75,MU,1559408020,94,-20.21,57.76,75.2,8.05
136,Sukumo,96,JP,1559408021,88,32.94,132.72,65.13,3.89
137,Boende,84,CD,1559408022,68,-0.28,20.88,80.25,1.45
138,Portlethen,93,GB,1559408023,63,57.05,-2.13,62.01,12.75
139,Taguatinga,75,BR,1559408025,39,-15.83,-48.06,84.2,4.7
140,Nkoteng,38,CM,1559408026,86,4.5,12.12,74.67,3.06
141,Longyearbyen,20,NO,1559408028,64,78.22,15.63,33.8,19.46
142,Vizinga,46,RU,1559408029,82,61.08,50.08,51.27,5.91
143,Kirakira,60,SB,1559408030,83,-10.46,161.92,79.53,13.04
144,Avarua,2,CK,1559408032,88,-21.21,-159.78,75.2,8.05
145,Port Blair,100,IN,1559408033,76,11.67,92.75,85.47,7.96
146,Kandi,100,BJ,1559408035,53,11.13,2.93,88.53,6.42
147,Cockburn Town,1,TC,1559407900,77,21.46,-71.14,81.87,15.01
148,Avera,40,US,1559408037,33,33.19,-82.53,91.0,11.41
149,Saint-Pierre,0,FR,1559408039,44,48.95,4.24,82.4,3.36
150,Tuatapere,69,NZ,1559408040,70,-46.13,167.69,50.73,20.74
151,Port-Cartier,75,CA,1559407764,37,50.03,-66.88,53.6,17.22
152,Todos Santos,5,MX,1559408043,57,23.45,-110.23,82.0,11.41
153,Charters Towers,98,AU,1559408044,78,-20.07,146.27,57.75,13.29
154,Agnibilekrou,100,CI,1559408045,98,7.13,-3.2,74.13,2.64
155,Plettenberg Bay,65,ZA,1559408047,90,-34.05,23.37,57.21,0.74
156,Sambava,69,MG,1559408048,98,-14.27,50.17,69.63,1.5
157,Jamestown,29,AU,1559408049,93,-33.21,138.6,47.49,4.63
158,Barrow,57,AR,1559408051,47,-38.31,-60.23,63.15,12.01
159,Constitucion,90,MX,1559408052,40,23.99,-104.67,71.6,7.74
160,Ferrol,0,ES,1559408054,50,43.48,-8.23,84.2,3.36
161,Flinders,64,AU,1559408055,93,-34.58,150.85,60.01,10.29
162,Richards Bay,2,ZA,1559408057,72,-28.77,32.06,71.25,5.59
163,Dikson,87,RU,1559408058,95,73.51,80.55,31.47,13.22
164,Whitehaven,1,US,1559408059,45,35.03,-90.03,87.01,9.17
165,Garowe,78,SO,1559408060,56,8.41,48.48,82.59,7.07
166,Taseyevo,86,RU,1559408062,83,57.22,94.9,37.77,6.51
167,Idritsa,65,RU,1559408063,66,56.33,28.9,58.47,1.32
168,La Primavera,20,AR,1559407941,76,-32.92,-68.67,50.0,5.82
169,Sinnai,20,IT,1559408066,49,39.3,9.2,75.2,10.29
170,Saint-Georges,0,CA,1559408068,47,46.12,-70.67,63.0,3.0
171,Namibe,16,AO,1559408069,84,-15.19,12.15,66.93,11.48
172,Iqaluit,20,CA,1559408070,35,63.75,-68.52,35.6,5.82
173,Sao Joao da Barra,0,BR,1559408040,55,-21.64,-41.05,89.6,6.93
174,Chicama,0,PE,1559408073,77,-7.84,-79.15,69.8,9.17
175,Clifton,90,AU,1559408075,81,-27.93,151.91,53.6,4.7
176,Synya,100,RU,1559408076,91,65.37,58.04,50.19,8.1
177,Hambantota,91,LK,1559408077,82,6.12,81.12,82.95,17.98
178,Methoni,20,GR,1559408079,43,36.82,21.7,73.4,9.17
179,Leningradskiy,0,RU,1559408080,90,69.38,178.42,30.39,9.26
180,Chino Valley,1,US,1559407926,21,34.76,-112.45,80.01,17.22
181,Eureka,90,US,1559407912,100,40.8,-124.16,55.99,3.36
182,Tasiilaq,20,GL,1559408084,74,65.61,-37.64,35.6,6.93
183,Castro,75,CL,1559408086,81,-42.48,-73.76,51.8,11.41
184,Ilulissat,20,GL,1559408087,56,69.22,-51.1,41.0,6.93
185,Price,1,US,1559408089,32,39.6,-110.81,70.0,18.34
186,Klaksvik,100,FO,1559408090,75,62.23,-6.59,46.4,14.99
187,Vila do Maio,20,CV,1559408091,54,15.13,-23.22,82.4,14.99
188,Cap Malheureux,75,MU,1559408093,94,-19.98,57.61,75.2,8.05
189,Punta de Bombon,36,PE,1559408094,75,-17.17,-71.79,63.69,8.3
190,Kaitangata,37,NZ,1559408096,84,-46.28,169.85,42.81,9.06
191,Chapais,90,CA,1559408097,57,49.78,-74.86,48.2,11.41
192,Verkhoyansk,25,RU,1559408098,77,67.55,133.39,43.53,9.93
193,Najran,75,SA,1559408099,22,17.54,44.22,91.4,11.41
194,Moose Factory,90,CA,1559408101,75,51.26,-80.61,46.4,6.93
195,Kangaatsiaq,9,GL,1559408102,78,68.31,-53.46,36.87,13.15
196,Beringovskiy,84,RU,1559408103,72,63.05,179.32,41.19,3.71
197,Halifax,40,CA,1559407924,34,44.65,-63.58,70.0,6.93
198,Nahan,20,IN,1559408106,47,30.56,77.29,95.0,8.05
199,Vila Velha,40,BR,1559408108,66,-3.71,-38.6,86.0,17.22
200,Meulaboh,99,ID,1559408009,77,4.14,96.13,81.87,5.88
201,Talnakh,90,RU,1559408110,94,69.49,88.39,32.0,8.95
202,Lisakovsk,21,KZ,1559408112,46,52.55,62.49,71.07,5.61
203,Aitape,90,PG,1559408113,76,-3.15,142.36,81.51,8.95
204,Sitka,2,US,1559408114,35,37.17,-99.65,87.09,7.34
205,Coquimbo,0,CL,1559408116,59,-29.95,-71.34,66.0,5.82
206,Cidreira,100,BR,1559408117,82,-30.17,-50.22,63.51,10.69
207,Buzdyak,68,RU,1559408118,91,54.57,54.53,65.67,7.94
208,Hauterive,0,FR,1559408120,25,46.09,3.45,86.0,4.7
209,Sisimiut,4,GL,1559408121,72,66.94,-53.67,38.67,15.99
210,Jizan,40,SA,1559408123,59,16.89,42.56,93.2,11.41
211,Wilmington,1,US,1559407833,57,39.75,-75.55,82.99,5.82
212,Warman,40,CA,1559408125,29,52.32,-106.58,68.0,10.29
213,Bambous Virieux,75,MU,1559408127,94,-20.34,57.76,75.2,8.05
214,Aginskoye,32,RU,1559408128,58,51.11,114.54,45.87,2.01
215,Margate,20,AU,1559408129,81,-43.03,147.26,45.0,3.36
216,Aldershot,92,GB,1559408130,44,51.25,-0.76,80.01,10.29
217,Itoman,75,JP,1559408132,88,26.12,127.67,78.8,8.05
218,Oistins,40,BB,1559408133,62,13.07,-59.53,86.0,18.34
219,Diu,16,IN,1559408135,87,20.71,70.98,82.77,11.12
220,Morogoro,40,TZ,1559408136,88,-6.82,37.67,73.4,4.61
221,Farmington,1,US,1559408075,26,36.73,-108.21,78.01,6.93
222,Srednekolymsk,0,RU,1559408139,77,67.46,153.71,38.49,10.4
223,Komsomolskiy,99,RU,1559408140,86,67.55,63.78,34.35,12.88
224,High Level,40,CA,1559408142,54,58.52,-117.13,55.4,13.87
225,Balkanabat,0,TM,1559408143,48,39.51,54.36,77.73,8.16
226,Ponta Delgada,75,PT,1559408124,93,37.73,-25.67,66.2,13.87
227,Palauig,96,PH,1559408145,73,15.44,119.9,87.45,8.72
228,Narimanov,0,RU,1559408147,32,46.69,47.85,84.2,6.71
229,Vila Nova de Milfontes,0,PT,1559408148,69,37.72,-8.78,71.01,10.0
230,Bilimbay,0,RU,1559408150,63,56.96,59.82,62.6,6.71
231,Qaanaaq,100,GL,1559408151,79,77.48,-69.36,27.33,6.33
232,El Dorado,53,VE,1559408153,64,6.71,-61.64,84.75,3.44
233,Rosario,75,UY,1559408154,72,-34.31,-57.35,64.0,6.93
234,Butaritari,89,KI,1559408156,72,3.07,172.79,82.41,2.91
235,Okha,98,RU,1559408157,97,53.59,142.95,35.79,7.52
236,Hofn,100,IS,1559408159,74,64.25,-15.21,31.47,5.95
237,Palotina,47,BR,1559408160,83,-24.28,-53.84,70.35,4.03
238,Vila Franca do Campo,75,PT,1559408161,93,37.72,-25.43,66.2,13.87
239,Whitehorse,75,CA,1559408163,61,60.72,-135.06,50.0,8.05
240,Ismailia,0,EG,1559408164,26,30.6,32.27,91.4,17.22
241,Merke,100,KZ,1559408166,49,42.87,73.19,71.07,9.15
242,Hasaki,75,JP,1559408167,100,35.73,140.83,63.0,2.24
243,Hargeysa,100,SO,1559408169,73,9.56,44.06,72.51,5.66
244,Timra,100,SE,1559408170,87,62.49,17.33,51.8,4.7
245,Padang,100,ID,1559408172,76,-0.92,100.36,81.51,3.38
246,East London,0,ZA,1559408173,88,-33.02,27.91,64.4,8.05
247,Clarence Town,90,AU,1559408174,100,-32.59,151.78,57.0,6.93
248,Karatsu,75,JP,1559408176,77,33.45,129.97,69.8,2.24
249,Siocon,81,PH,1559408177,84,11.03,124.04,81.15,6.4
250,Luyang,0,CN,1559408178,73,31.88,117.26,69.8,4.47
251,Fangshan,0,CN,1559408180,68,39.75,116.14,70.0,6.71
252,Guerrero Negro,80,MX,1559408181,77,27.97,-114.04,64.05,7.81
253,Dali,64,CN,1559408182,89,25.6,100.24,54.51,4.45
254,Yaan,69,NG,1559408184,58,7.38,8.57,85.83,4.16
255,Comodoro Rivadavia,40,AR,1559408185,76,-45.87,-67.48,51.8,4.7
256,Liancheng,0,CN,1559408187,87,24.05,105.06,60.99,2.8
257,Ahipara,100,NZ,1559408188,67,-35.17,173.16,57.57,28.1
258,Formosa,75,AR,1559408161,82,-26.19,-58.17,66.2,3.36
259,Mutis,7,CO,1559408191,75,6.23,-77.4,82.77,11.07
260,Ambon,0,FR,1559408192,44,47.55,-2.56,78.01,11.41
261,Nueva Loja,75,EC,1559408194,74,0.08,-76.88,86.0,5.82
262,Sept-Iles,75,CA,1559408195,37,50.2,-66.38,53.6,17.22
263,Beidao,4,CN,1559408196,57,34.57,105.89,55.77,4.92
264,Yingkou,36,CN,1559408198,44,40.67,122.24,62.61,9.26
265,Fortuna,0,ES,1559408199,43,38.18,-1.13,82.4,8.05
266,Lagoa,0,PT,1559408201,39,37.14,-8.45,81.0,12.75
267,Mount Gambier,90,AU,1559408203,100,-37.83,140.78,48.2,5.82
268,Jaguey Grande,40,CU,1559408204,66,22.53,-81.13,87.8,4.7
269,Cervo,40,BR,1559408206,57,-22.19,-46.24,75.2,7.7
270,Covington,1,US,1559408207,45,35.56,-89.65,87.01,9.17
271,Atar,0,MR,1559408208,7,20.52,-13.05,104.91,8.93
272,Arraial do Cabo,40,BR,1559408210,78,-22.97,-42.02,82.4,9.17
273,Yueyang,0,CN,1559408211,92,29.36,113.12,67.83,7.4
274,San Patricio,92,PY,1559408212,83,-26.98,-56.83,65.85,4.9
275,Tigil,95,RU,1559408214,85,57.8,158.67,47.85,4.36
276,La Reforma,75,GT,1559408215,70,14.8,-91.82,86.0,2.24
277,Fiditi,100,NG,1559408217,62,7.71,3.92,84.03,6.67
278,Letpadan,100,MM,1559408218,66,17.78,95.75,86.37,10.07
279,Carhuamayo,1,PE,1559408219,21,-10.92,-76.06,58.65,10.74
280,Zhangjiakou,62,CN,1559408221,65,40.77,114.88,53.07,7.0
281,Maceio,40,BR,1559408222,66,-9.67,-35.74,84.2,3.36
282,Camacha,0,PT,1559408223,64,33.08,-16.33,86.0,19.46
283,Solnechnyy,83,RU,1559408225,96,50.72,136.64,40.47,3.53
284,Kruisfontein,33,ZA,1559408226,93,-34.0,24.73,56.13,0.34
285,Qaqortoq,40,GL,1559408227,71,60.72,-46.03,46.4,10.29
286,Santa Rosa de Aguan,100,HN,1559408229,68,15.95,-85.71,85.29,7.67
287,Bria,98,CF,1559408230,68,6.54,21.99,78.99,2.71
288,Bideford,0,GB,1559408231,77,51.02,-4.21,72.0,8.05
289,Marienburg,0,DE,1559408233,47,52.12,9.98,78.8,6.93
290,Mwinilunga,90,ZM,1559408234,56,-11.73,24.43,58.47,2.71
291,Saldanha,0,PT,1559408235,22,41.42,-6.55,84.93,12.48
292,Hendek,75,TR,1559408237,69,40.8,30.75,75.2,10.29
293,Namatanai,61,PG,1559408238,88,-3.66,152.44,78.45,11.86
294,Nantucket,90,US,1559408239,87,41.28,-70.1,73.0,6.93
295,Sola,75,NO,1559408241,87,58.89,5.65,51.8,8.05
296,Nalut,0,LY,1559408242,45,31.86,10.98,69.09,20.4
297,Aalen,0,DE,1559408244,47,48.84,10.09,82.0,3.36
298,Laurel,20,US,1559408245,55,45.67,-108.77,69.01,4.7
299,Newry,75,GB,1559408246,63,54.18,-6.34,64.4,6.93
300,Aklavik,5,CA,1559408248,70,68.22,-135.01,51.8,6.93
301,Port Lincoln,93,AU,1559408249,65,-34.72,135.86,60.09,7.87
302,La Romana,40,DO,1559408251,66,18.43,-68.97,86.0,11.41
303,Nizhniy Baskunchak,0,RU,1559408252,34,48.22,46.83,81.87,8.37
304,Zyryanka,60,RU,1559408253,66,65.73,150.89,48.57,10.18
305,Ostrovnoy,100,RU,1559408255,57,68.05,39.51,48.75,16.98
306,Kalmunai,78,LK,1559408256,80,7.42,81.82,78.81,1.32
307,Pakhtakoron,24,UZ,1559408257,53,40.16,68.75,75.93,1.99
308,Xuddur,98,SO,1559408259,71,4.12,43.89,77.91,15.08
309,Mar del Plata,100,AR,1559408260,82,-46.43,-67.52,47.49,13.51
310,Ixtapa,90,MX,1559408261,88,20.71,-105.21,78.01,5.82
311,Veraval,0,FR,1559408263,47,49.65,0.71,82.99,8.05
312,Zhanakorgan,43,KZ,1559408264,34,43.91,67.25,79.17,5.46
313,Waddan,63,LY,1559408266,35,29.16,16.14,84.39,13.94
314,Saint-Augustin,0,FR,1559408267,33,44.83,-0.61,93.0,6.93
315,Tuktoyaktuk,20,CA,1559408268,82,69.44,-133.03,42.8,11.41
316,Beruwala,84,LK,1559408270,81,6.48,79.98,83.67,17.22
317,Twentynine Palms,1,US,1559408271,23,34.14,-116.05,86.0,6.55
318,Evensk,100,RU,1559408272,63,61.92,159.24,53.61,4.32
319,Cabo San Lucas,5,MX,1559408176,77,22.89,-109.91,82.0,23.04
320,Okhotsk,80,RU,1559408275,94,59.36,143.24,38.49,3.58
321,Luderitz,0,NA,1559408276,77,-26.65,15.16,59.0,18.34
322,Suez,1,EG,1559408277,31,29.97,32.54,83.13,13.22
323,Khani,40,GE,1559408279,50,41.96,42.96,77.0,11.41
324,Gornopravdinsk,0,RU,1559408281,66,60.06,69.92,47.67,4.97
325,Atherton,94,GB,1559408165,68,53.52,-2.49,72.0,2.24
326,Bose,0,IT,1559408284,44,45.46,8.01,84.0,2.24
327,Nara,98,JP,1559408285,73,34.68,135.8,69.8,6.93
328,Praia,20,BR,1559408286,30,-20.25,-43.81,84.2,10.29
329,Sokolo,76,ML,1559408288,7,14.74,-6.12,109.05,7.7
330,Dunedin,69,NZ,1559408289,84,-45.87,170.5,41.0,15.99
331,Kumluca,88,TR,1559408291,51,36.37,30.29,67.29,2.53
332,Bubaque,6,GW,1559408292,79,11.28,-15.83,79.53,14.14
333,Tambacounda,0,SN,1559408294,43,13.77,-13.67,105.8,6.93
334,Concepcion del Uruguay,60,AR,1559408198,63,-32.48,-58.24,68.0,3.0
335,Santa Maria,90,BR,1559408297,88,-29.69,-53.81,62.6,6.93
336,Homer,90,US,1559408299,76,59.64,-151.54,52.0,5.84
337,Harper,40,US,1559408300,58,30.3,-99.24,86.0,10.29
338,Moscow,0,RU,1559408121,49,55.75,37.62,69.8,11.18
339,Oranjestad,75,AW,1559408275,62,12.52,-70.03,87.8,12.75
340,Smithers,75,CA,1559408304,82,54.78,-127.17,55.4,4.7
341,Isangel,99,VU,1559408305,75,-19.55,169.27,74.49,16.33
342,Abu Samrah,55,SY,1559408307,21,35.3,37.18,88.17,10.92
343,Reyes,75,BO,1559408308,74,-14.3,-67.34,86.0,6.93
344,Harnoli,0,PK,1559408310,10,32.28,71.55,103.11,3.29
345,Lyuban,7,BY,1559408311,86,52.8,28.0,63.87,3.91
346,Alausi,59,EC,1559408313,83,-2.2,-78.83,64.95,6.62
347,Marawi,100,PH,1559408314,89,8.0,124.29,79.0,3.0
348,Katherine,43,AU,1559408316,48,-14.47,132.26,62.6,8.05
349,Macultepec,75,MX,1559408317,62,18.17,-92.83,86.0,9.71
350,Panguna,58,PG,1559408318,80,-6.32,155.48,82.95,19.39
351,Conway,1,US,1559408320,54,35.09,-92.44,87.01,4.7
352,Myra,50,NO,1559408321,58,58.75,8.86,53.61,16.44
353,Novikovo,100,UA,1559408323,79,45.05,34.56,70.17,3.56
354,Beroroha,2,MG,1559408324,58,-21.68,45.17,69.45,2.59
355,Husavik,1,CA,1559408326,46,50.56,-96.99,62.01,3.0
356,Deputatskiy,8,RU,1559408327,94,69.3,139.9,38.85,2.84
357,Pedernales,81,EC,1559408328,82,0.07,-80.05,78.09,11.54
358,Pocoes,0,BR,1559408330,39,-14.53,-40.37,82.4,9.17
359,Almaznyy,0,RU,1559408331,58,48.03,40.04,82.4,4.47
360,Narsaq,40,GL,1559408333,71,60.91,-46.05,46.4,10.29
361,Sao Jose da Coroa Grande,40,BR,1559408334,67,-8.9,-35.15,83.31,8.77
362,Cabedelo,40,BR,1559408335,66,-6.97,-34.84,86.0,13.87
363,Kununurra,3,AU,1559408337,26,-15.77,128.74,69.8,14.99
364,Severobaykalsk,100,RU,1559408338,98,55.65,109.32,35.25,4.52
365,Havoysund,91,NO,1559408339,93,71.0,24.66,41.0,19.46
366,Vestmanna,100,FO,1559408341,75,62.16,-7.17,46.4,14.99
367,Jardim,67,BR,1559408342,85,-21.48,-56.15,70.53,10.45
368,College,90,US,1559408170,100,64.86,-147.8,53.01,8.05
369,Kurilsk,94,RU,1559408345,88,45.23,147.88,48.93,11.12
370,Birecik,0,TR,1559408346,30,37.03,37.98,86.0,5.82
371,Guantanamo,40,BO,1559408348,62,-16.14,-62.05,86.0,13.87
372,Carmen,100,PH,1559408349,82,7.2,124.8,77.37,1.05
373,Dandeli,62,IN,1559408351,92,15.25,74.62,73.59,5.57
374,Vardo,1,US,1559408352,44,39.62,-77.74,82.99,4.7
